Name,Category,Style,IBU,ABV,Brewery,Province,Country,Taste_Profile,Food_Pairing,Flavours,Link
Belgian Moon Light Sky,Ale,Wheat Ale,,4.00%,Belgian Moon Brewing Co.,,USA,Flavoured and Refreshing,"Shellfish, Mussels, Appetizers","Tangerine, Freash, Crisp",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1033294.aspx
Belgian Moon Mango Wheat,Ale,Flavoured Wheat Ale,19,5.40%,Belgian Moon Brewing Co.,,USA,Fruity and Smooth,"Fresh Cheeses, Curry (Mild), Crab Cakes","Orange, Mango, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Flavoured%20Wheat%20Ale/1032659.aspx
Conniption Fit,Ale,Blonde Ale,,4.00%,Big Spruce Brewing ,Nova Scotia,Canada,Bright and Balanced,"Pub Fare, Hors D'Oeuvres, Appetizers","Grain, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Blonde%20Ale/1032526.aspx
Hotel-Alpha-Zulu-Echo,Ale,India Pale Ale,,5.70%,Big Spruce Brewing ,Nova Scotia,Canada,Crisp and Hoppy,"Vietnamese Cuisine, Thai Cuisine, Moroccan","Tropical, Mango, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034551.aspx
Ski Cape Smokey Pilsner,Lager,Pilsner,,4.50%,Big Spruce Brewing ,Nova Scotia,Canada,Bright and Balanced,,"Crisp, Herb, Malty",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1033627.aspx
Tag You're It!,Ale,India Pale Ale,42,6.50%,Big Spruce Brewing ,Nova Scotia,Canada,Crisp and Hoppy,"Stir Fry, Roast Chicken, Curry","Pine, Orchard Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1030965.aspx
The Inhaled Affirmative,Lager,Pilsner,,4.10%,Big Spruce Brewing ,Nova Scotia,Canada,Bright and Balanced,"White Fish, Shellfish, Fresh Cheeses","Herb, Crisp, Biscuit",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1034326.aspx
Tim's Dirty American,Ale,India Pale Ale,77,6.70%,Big Spruce Brewing ,Nova Scotia,Canada,Crisp and Hoppy,"Salmon, Curry, Asian","Pine, Orchard, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1025070.aspx
Bitter Get'er India,Ale,Black India Pale Ale,113,6.80%,Big Spruce Brewing ,Nova Scotia,Canada,Crisp and Hoppy,"Salmon, Curry, Asian","Pine, Grassy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Black%20IPA/1025071.aspx
Blanche De Chambly,Ale,Wit,10,5.00%,Unibroue,Quebec,Canada,Fruity and Smooth,"Thai Cuisine, Mussels, Fresh Cheeses","Spice, Orange, Floral",https://www.mynslc.com/en/products/Beer/Ale/Wit/1033314.aspx
Bon Voyage Champagne IPA,Ale,Brut India Pale Ale,20,6.00%,Bogside Brewing,PEI,Canada,Crisp and Hoppy,"Moroccan, Curry (Mild), Asian Noodles","Tropical, Melon, Dry",https://www.mynslc.com/en/products/Beer/Ale/1034078.aspx
Lighthorse Lagred Ale,Ale,Light Ale,18,4.50%,Bogside Brewing,PEI,Canada,Bright and Balanced,,"Clean, Crisp, Grain",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1033582.aspx
Arnold's Apricot Wheat Ale,Ale,Flavoured Wheat Ale,,5.50%,Boxing Rock,Nova Scotia,Canada,Fruity and Smooth,"Trout, Salmon, Fresh Cheeses","Fresh, Citrus, Apricot",https://www.mynslc.com/en/products/Beer/Ale/Flavoured%20Wheat%20Ale/1033052.aspx
Dark as Keji,Ale,India Pale Ale,,6.50%,Boxing Rock,Nova Scotia,Canada,Crisp and Hoppy,"Pork, Fish and Chips, Curry","Pine, Coffee, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1023884.aspx
Equinox Oktoberfest Lager,Lager,Amber Lager,,5.00%,Boxing Rock,Nova Scotia,Canada,Bright and Balanced,"Tex Mex, Tacos, Sausages","Malty, Fresh, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1034495.aspx
Hunky Dory Pale Ale,Ale,Pale Ale,,5.00%,Boxing Rock,Nova Scotia,Canada,Crisp and Hoppy,"Curry, BBQ Fare, Asian","Tea, Floral, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1018108.aspx
Indigo Blueberry Sour Ale,Ale,Sour Ale,,5.20%,Boxing Rock,Nova Scotia,Canada,Fruity and Smooth,"Salmon, Salads, Mild Cheeses","Tangy, Fresh, Blueberry",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1034497.aspx
Boxing Rock IPA,Ale,India Pale Ale,,6.60%,Boxing Rock,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian Noodles","Pine, Hoppy, Grapefruit",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033835.aspx
Boxing Rock Sour IPA,Ale,Speciality Ale,,5.40%,Boxing Rock,Nova Scotia,Canada,Crisp and Hoppy,"Salads, Appetizers, Aperitif","Tropical, Tangy, Fresh",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1033051.aspx
Summer Love Dry Hopped Sour Ale,Ale,Sour Ale,,5.40%,Boxing Rock,Nova Scotia,Canada,Light and Refreshing,"Tacos, Salads, Fresh Cheeses","Tropical, Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1033830.aspx
Temptation Red Ale,Ale,Red Ale,,6.00%,Boxing Rock,Nova Scotia,Canada,Robust and Malty,"Sharp Cheeses, Hamburgers, BBQ Chicken","Hoppy, Citrus, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Red%20Ale/1018435.aspx
Vicar Cross Double IPA,Ale,Double India Pale Ale,,8.50%,Boxing Rock,Nova Scotia,Canada,Crisp and Hoppy,"Curry, BBQ Fare, Asian","Spicy, Hoppy, Floral Hop",https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1018106.aspx
Wild Axe Pilsner,Lager,Pilsner,,5.70%,Boxing Rock,Nova Scotia,Canada,Bright and Balanced,,"Crisp, Grassy, Spicy",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1033451.aspx
Puck Off Lagered Ale,Ale,Speciality Ale,,5.00%,Boxing Rock,Nova Scotia,Canada,,,,https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1034734.aspx
The Shandy,Ale,Sour Ale,,2.60%,Boxing Rock,Nova Scotia,Canada,Flavoured and Refreshing,"Shellfish, Salads, Aperitif","Tangy, Lemon, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1034315.aspx
Black Angus IPA,Ale,India Pale Ale,60,6.20%,Breton Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Korean, Curry, Asian Noodles","Pine, Malty, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1023288.aspx
Island Time Lager,Lager,Helles,14,4.30%,Breton Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"White Fish, Pub Fare, Appetizers","Malty, Crisp, Clean",https://www.mynslc.com/en/products/Beer/Lager/Helles/1027272.aspx
Let's Jam!,Ale,Sour Ale,,4.00%,Breton Brewing Co.,Nova Scotia,Canada,Fruity and Smooth,"Salads, Fresh Cheeses, Aperitif","Tangy, Strawberry, Rhubarb",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1030755.aspx
Red Coat Irish Red,Ale,Irish Red Ale,25,5.00%,Breton Brewing Co.,Nova Scotia,Canada,Robust and Malty,"Roast Pork, Ribs, Cheddar","Toasty, Malty, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Irish%20Red%20Ale/1023286.aspx
S.M.A.S.H,Ale,Speciality Ale,20,4.00%,Breton Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Curry, Blue Cheeses, Asian","Tropical, Dry, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1031674.aspx
Seaven Years Pale Ale,Ale,Pale Ale,25,5.20%,Breton Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Fish and Chips, Curry (Mild), Asian","Tropical, Pine, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1027953.aspx
Sons of Hector Brown Ale,Ale,Brown Ale,30,5.00%,Breton Brewing Co.,Nova Scotia,Canada,Robust and Malty,"Stews, Grilled Beef, Cheddar","Nutty, Chocolate, Caramel",https://www.mynslc.com/en/products/Beer/Ale/Brown%20Ale/1024734.aspx
Spiced Up Pumpkin Ale,Ale,Speciality Ale,,5.50%,Breton Brewing Co.,Nova Scotia,Canada,Fruity and Smooth,"Roast Chicken, Pork Chops, Bratwurst","Pumpkin, Malty, Baking Spice",https://www.mynslc.com/en/products/Beer/Ale/Specialty%20Ale/1032035.aspx
Stirling Hefeweizen,Ale,Weizen,15,4.60%,Breton Brewing Co.,Nova Scotia,Canada,Fruity and Smooth,"White Fish, Shellfish, Fresh Cheeses","Cloves, Bubblegum, Banana",https://www.mynslc.com/en/products/Beer/Ale/Weizen/1025011.aspx
Together We Brew,Lager,Amber Lager,,4.80%,Breton Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Salmon, Chicken, Appetizers","Toasty, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1033084.aspx
Big Lift IPA,Ale,India Pale Ale,71,6.60%,Brightwood Brewery,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Asian Noodles","Mint, Earthy, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1030826.aspx
Made Me Blush Rose IPA,Ale,Speciality Ale,,6.80%,Brightwood Brewery,Nova Scotia,Canada,Fruity and Smooth,"Salmon, Salads, Appetizers","Rosé, Fresh, Floral",https://www.mynslc.com/en/products/Beer/Ale/1033085.aspx
Bud Light Apple,Lager,Flavoured Lager,,4.00%,Anheuser-Busch,,Canada,Flavoured and Refreshing,"Shellfish, Salmon, Appetizers","Smooth, Corn, Apple",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1020595.aspx
Bud Light,Lager,Light Lager,6,4.20%,Anheuser-Busch,,Canada,Light and Refreshing,"White Fish, Pub Fare, Appetizers","Smooth, Corn, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1007629.aspx
Bud Light Lime,Lager,Flavoured Lager,8,4.20%,Anheuser-Busch,,Canada,Flavoured and Refreshing,"Tex Mex, Nachos, Appetizers","Lime, Delicate, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1010164.aspx
Bud Light Orange,Lager,Flavoured Lager,,4.20%,Anheuser-Busch,,Canada,Flavoured and Refreshing,"Salads, Appetizers, Aperitif","Orange, Lively, Grain",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1030807.aspx
Bud Light Grapefruit Radler,Lager,Radler,8,2.40%,Anheuser-Busch,,Canada,Flavoured and Refreshing,"Salads, Appetizers, Aperitif","Tangy, Spritzy, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Radler/1025076.aspx
Bud Light Strawberry Lemonade,Lager,Radler,,4.00%,Anheuser-Busch,,Canada,Flavoured and Refreshing,"Fresh Fruit, Fresh Cheeses, Aperitif","Red Fruit, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Radler/1033303.aspx
Budweiser,Lager,Pale Lager,12,5.00%,Anheuser-Busch,,Canada,Bright and Balanced,"White Fish, BBQ Fare, Appetizers","Smooth, Corn, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1007631.aspx
Budweiser Nitro Gold,Lager,Pale Lager,,5.00%,Anheuser-Busch,,USA,Bright and Balanced,"Pub Fare, Nachos, Chicken Wings","Grain, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1033276.aspx
Budweiser Shot,Lager,Light Lager,,7.00%,Anheuser-Busch,,Canada,Bright and Balanced,"Tex Mex, Nachos, Chili","Herbaceous, Crisp, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1015845.aspx
Busch Ice,Lager,Pale Lager,,5.90%,Anheuser-Busch,,Canada,Bright and Balanced,"Nachos, Chicken Wings, Appetizers","Smooth, Grain, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1027731.aspx
Busch,Lager,Pale Lager,,4.30%,Anheuser-Busch,,Canada,Bright and Balanced,"Pub Fare, Chicken Wings, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1027735.aspx
Busch Light,Lager,Light Lager,,4.10%,Anheuser-Busch,,Canada,Light and Refreshing,"Pub Fare, Chicken Wings, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1027783.aspx
Carlsberg,Lager,Pale Lager,8,5.00%,Carlsberg Group,,Denmark,Bright and Balanced,"Shellfish, Seafood, Salads","Pine, Grain, Apple",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1015672.aspx
East Coast Pirates IPA,Ale,India Pale Ale,70,6.50%,Cavok Brewing Co.,New Brunswick,Canada,Crisp and Hoppy,"Thai Cuisine, Curry, Cheese","Hoppy, Grapefruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033909.aspx
Cereal Killer Oatmeal Stout,Ale,Stout,24,5.40%,Big Spruce Brewing ,Nova Scotia,Canada,Bold and Full Flavoured,"Chocolate, BBQ Fare, Aged Cheeses","Liquorice, Coffee, Chocolate",https://www.mynslc.com/en/products/Beer/Ale/Stout/1026962.aspx
Illuminate Pale Ale,Ale,Pale Ale,,5.00%,The Church Brewing Co.,Nova Scotia,Canada,Crisp and Hoppy,"Thai Cuisine, Sushi, Asian Noodles","Papaya, Mango, Grapefruit",https://www.mynslc.com/en/products/Beer/Ale/Pale%20Ale/1034098.aspx
Congregation Pilsner,Lager,Pilsner,,4.70%,The Church Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Shellfish, Seafood, Appetizers","Herb, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1030847.aspx
Married to the Sea Porter,Lager,Dark Lager,,5.60%,The Church Brewing Co.,Nova Scotia,Canada,Robust and Malty,"Tex Mex, Sausages, Chocolate Cake","Coffee, Chocolate, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Dark%20Lager/1032536.aspx
Sanctuary Enkel Ale,Ale,Light Ale,,3.80%,The Church Brewing Co.,Nova Scotia,Canada,Bright and Balanced,"Cheese, Appetizers, Aperitif","Spicy, Honey, Fruit",https://www.mynslc.com/en/products/Beer/Ale/Light%20Ale/1033043.aspx
Hazy State DIPA,Ale,Double India Pale Ale,,4.10%,Collective Arts Brewing,Ontario,Canada,Crisp and Hoppy,"Salmon, Moroccan, Curry (Mild)","Tropical, Smooth, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Double%20IPA/1034152.aspx
IPA No 14,Ale,India Pale Ale,,7.10%,Collective Arts Brewing,Ontario,Canada,Crisp and Hoppy,"Vietnamese Cuisine, Thai Cuisine, Curry","Tropical, Lime, Grapefruit",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1034509.aspx
Pomegrante Sour,Ale,Sour Ale,,5.60%,Collective Arts Brewing,Ontario,Canada,Fruity and Smooth,"Salads, Fresh Fruit, Fresh Cheeses","Tangy, Red Fruit, Citrus",https://www.mynslc.com/en/products/Beer/Ale/Sour%20Ale/1034508.aspx
Colt 45,Lager,Pale Lager,6,5.60%,Pabst Brewing Company,,USA,Bright and Balanced,"Pub Fare, Chicken Wings, Appetizers","Lively, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1020397.aspx
Coors Light,Lager,Light Lager,10,4.20%,Molson Coors Canada Inc.,New Brunswick,Canada,Light and Refreshing,"Dips, Crudite, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1001944.aspx
Coors Organic,Lager,Light Lager,,3.80%,Molson Coors Canada Inc.,New Brunswick,Canada,Light and Refreshing,"Vegetarian, Seafood, Appetizers","Lively, Grain, Crisp",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1033319.aspx
Coors Original,Lager,Pale Lager,15,5.00%,Molson Coors Canada Inc.,New Brunswick,Canada,Bright and Balanced,"Pub Fare, Dips, Chicken Wings","Grain, Crisp, Corn",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1018101.aspx
Coors Slice Lime,Lager,Flavoured Lager,5,4.20%,Molson Coors Canada Inc.,New Brunswick,Canada,Flavoured and Refreshing,"Tex Mex, Tacos, Appetizers","Lime, Crisp, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Flavoured%20Lager/1033071.aspx
Blueberry Sour,Ale,Wheat Ale,,5.00%,Copper Bottom Brewing,PEI,Canada,Fruity and Smooth,"Salads, Pork, Aperitif","Tangy, Smooth, Blueberry",https://www.mynslc.com/en/products/Beer/Ale/Wheat%20Ale/1033406.aspx
Corona Extra,Lager,Pale Lager,19,4.50%,Cerveceria Modelo,,Mexico,Light and Refreshing,"Nachos, Dips, Appetizers","Soft, Smooth, Grassy",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1001413.aspx
Corona Light,Lager,Light Lager,18,4.10%,Cerveceria Modelo,,Mexico,Light and Refreshing,"Nachos, Dips, Appetizers","Soft, Smooth, Grassy",https://www.mynslc.com/en/products/Beer/Lager/Light%20Lager/1009845.aspx
Creemore Springs Premium Lager,Lager,Amber Lager,24,5.00%,Creemore Springs Brewing Limited,Ontario,Canada,Bright and Balanced,"Roast Pork, Roast Chicken, Cheese","Crisp, Cereal, Caramel",https://www.mynslc.com/en/products/Beer/Lager/Amber%20Lager/1014790.aspx
Czechvar Pilsner,Lager,Pilsner,32,5.00%,Budweiser Budvar Brewery,,Czech Republic,Crisp and Hoppy,"Shellfish, Seafood, Appetizers","Lively, Grain, Citrus",https://www.mynslc.com/en/products/Beer/Lager/Pilsner/1012868.aspx
Dab Original Dortmund Lager,Lager,Pale Lager,,5.00%,Dortmunder Actien Brauerei,,Germany,Bright and Balanced,"Seafood, Salads, Chicken","Grassy, Crisp, Cereal",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000237.aspx
Dildo Spindrift Altbier,Hybrid,Altbier,,5.30%,Dildo Brewing / Spindrift Brewing,Newfoundland / Nova Scotia,Canada,Bright and Balanced,"Sausages, Salmon, Pork","Crisp, Citrus, Malt",https://www.mynslc.com/en/products/Beer/Hybrid/Altbier/1032691.aspx
Erdinger Weissbier Wheat Ale,Ale,Weizen,13,5.30%,Erdinger Weissbrau,,Germany,Fruity and Smooth,"Weisswurst, Sushi, Egg Dishes","Cloves, Citrus, Banana",https://www.mynslc.com/en/products/Beer/Ale/Weizen/1028153.aspx
Erdinger Wheat Ale,Ale,Weizen,13,5.30%,Erdinger Weissbrau,,Germany,Fruity and Smooth,"Weisswurst, Sushi, Egg Dishes","Cloves, Citrus, Banana",https://www.mynslc.com/en/products/Beer/Ale/Weizen/1001420.aspx
Faxe 10 Lager,Lager,Pale Lager,,10.00%,Royal Unibrew A/S,,Denmark,Bright and Balanced,"Pub Fare, Nachos, Appetizers","Spicy, Grain, Candied Fruit",https://www.mynslc.com/en/products/Beer/Lager/Pale%20Lager/1000098.aspx
Dixie Clipper IPA,Ale,India Pale Ale,68,6.50%,Flying Boats Brewing,New Brunswick,Canada,Crisp and Hoppy,"Curry, Cheese, Asian","Pine, Hoppy, Grapefruit",https://www.mynslc.com/en/products/Beer/Ale/India%20Pale%20Ale/1033897.aspx
